Approved_symbol	Previous_symbols	Gene_group_ID	NCBI_Gene_ID
ADM		1902	133
ADM-DT		1990	105376544
ADM2		1902	79924
ADM5	C19orf76		199800
ADMLX			<NA>
ADMLY			<NA>
ADNP		529|28	23394
ADNP-AS1		1987	101927631
ADNP2	ZNF508	529|28	22850
ADO	C10orf22		84890
ADORA1		211	134
ADORA2A	ADORA2	211	135
ADORA2A-AS1	C22orf45	1987	646023
ADORA2B		211	136
ADORA2BP1	ADORA2BP		137
ADORA2L1	ADORA2L		<NA>
ADORA2L2			<NA>
ADORA3		211|590	140
ADPGK			83440
ADPGK-AS1		1987	100287559
ADPRH			141
ADPRHL1			113622
ADPRM	C17orf48	1073	56985
ADPRS	ADPRHL2		54936
ADRA1A	ADRA1C	169	148
ADRA1B		169	147
ADRA1C			<NA>
ADRA1D		169	146
ADRA2A	ADRA2|ADRA2R	169	150
ADRA2B	ADRA2L1|ADRA2RL1	169	151
ADRA2C	ADRA2L2|ADRA2RL2	169	152
ADRA2L1			<NA>
ADRB1	ADRB1R	169	153
ADRB2	ADRB2R	169	154
ADRB2RL1			<NA>
ADRB3		169	155
ADRM1		690	11047
ADSL		1569	158
ADSS1	ADSSL1		122622
ADSS2	ADSS		159
ADT			<NA>
ADTAA			<NA>
ADTAB			<NA>
ADTB1			<NA>
ADTB2			<NA>
ADTG			<NA>
ADTRP	C6orf105		84830
AE1			<NA>
AE2			<NA>
AEBP1		1321|1691	165
AEBP2		28	121536
AEMK			<NA>
AEN	ISG20L1	544|1691	64782
AEPLC			<NA>
AEZ			<NA>
AF8T			<NA>
AFA			<NA>
AFAP1		682	60312
AFAP1-AS1	AFAP1AS|AFAP1-AS	1987	84740
AFAP1L1		682	134265
AFAP1L2	KIAA1914	682	84632
AFCP			<NA>
AFD1			<NA>
AFDN	MLLT4	1220	4301
AFDN-DT	C6orf124|MLLT4-AS1|AFDN-AS1	1990	653483
AFF1	PBM1|MLLT2	1280|1145	4299
AFF1-AS1		1987	100506746
AFF2	FMR2	1280|1145	2334
AFF2-IT1		1989	100874269
AFF3	LAF4	1145|1280	3899
AFF4		1145|1280	27125
AFF4-DT		1990	124901065
AFF4P1			<NA>
AFG1L	LACE1		246269
AFG2A	SPATA5	413	166378
AFG2B	SPATA5L1	413	79029
AFG3			<NA>
AFG3L1P	AFG3|AFG3L1	413	172
AFG3L2	SCA28	413	10939
AFG3L2P1	AFG3L2P		347028
AFM		1620	173
AFMID			125061
AFP	HPAFP	1620	174
AFTPH		1691	54812
AFTPH-DT		1990	101927402
AGA			175
AGA-DT		1990	285500
AGAP1	CENTG2	403|395|1291	116987
AGAP1-IT1		1989	100506749
AGAP2	CENTG1	403|395|1291	116986
AGAP2-AS1		1987	100130776
AGAP3	CENTG3	403|395|1291	116988
AGAP4	CTGLF1|AGAP8|CTGLF5	403|395|1291	119016
AGAP5	CTGLF2	403|395|1291	729092
AGAP6	CTGLF3	403|395|1291	414189
AGAP7P	CTGLF4|AGAP7	403|395	653268
AGAP8	CTGLF5		<NA>
AGAP9	CTGLF6	403|395|1291	642517
AGAP10	CTGLF7		<NA>
AGAP10P	AGAP10|CTGLF7|CTGLF10P	395	653234
AGAP11		403|395|1291	119385
AGAP12P	CTGLF12P	395	414224
AGAP13P	CTGLF9P	395	728005
AGAP14P	CTGLF11P|AGAP14	395	653259
AGBL1		1492|1321	123624
AGBL1-AS1		1987	727915
AGBL2		1321	79841
AGBL3		1321	340351
AGBL4		1321	84871
AGBL4-AS1		1987	101929721
AGBL4-IT1		1989	<NA>
AGBL5		1321	60509
AGBL5-AS1		1987	100874031
AGBL5-IT1		1989	<NA>
AGER		1253|592	177
AGFG1	HRB	1691|395	3267
AGFG2	HRBL	395	3268
AGGF1		579	55109
AGGF1P1			100132380
AGGF1P2			644435
AGGF1P3			391552
AGGF1P4			100129351
AGGF1P5			100128103
AGGF1P6			<NA>
AGGF1P7			100132606
AGGF1P8			100128804
AGGF1P9			100127958
AGGF1P10			100288774
AGK	MULK		55750
