NCBI_Gene_ID	Approved_Symbol
4254	KITLG
488	ATP2A2
51548	SIRT6
5320	PLA2G2A
54210	TREM1
5423	POLB
55600	ITLN1
5627	PROS1
578	BAK1
5829	PXN
6262	RYR2
6548	SLC9A1
668	FOXL2
6777	STAT5B
6925	TCF4
7010	TEK
7054	TH
7070	THY1
710	SERPING1
7337	UBE3A
84557	MAP1LC3A
8772	FADD
8792	TNFRSF11A
8826	IQGAP1
89	ACTN3
9076	CLDN1
9173	IL1RL1
975	CD81
9978	RBX1
1003	CDH5
1072	CFL1
1436	CSF1R
1591	CYP24A1
1612	DAPK1
1616	DAXX
1634	DCN
1672	DEFB1
186	AGTR2
1910	EDNRB
2161	F12
2264	FGFR4
23451	SF3B1
2395	FXN
2919	CXCL1
3164	NR4A1
3190	HNRNPK
340061	STING1
3655	ITGA6
3676	ITGA4
3939	LDHA
4015	LOX
406928	MIR137
406988	MIR205
406996	MIR214
407035	MIR31
4179	CD46
4194	MDM4
43	ACHE
4317	MMP8
4352	MPL
4361	MRE11
467	ATF3
468	ATF4
4734	NEDD4
4791	NFKB2
4853	NOTCH2
494324	MIR375
5649	RELN
5820	PVT1
5915	RARB
5919	RARRES2
6007	RHD
6390	SDHB
6446	SGK1
64805	P2RY12
6530	SLC6A2
6624	FSCN1
6683	SPAST
7082	TJP1
7454	WAS
7874	USP7
79728	PALB2
890	CCNA2
9235	IL32
966	CD59
1028	CDKN1C
10971	YWHAQ
11168	PSIP1
1138	CHRNA5
1356	CP
150	ADRA2A
1500	CTNND1
1621	DBH
1649	DDIT3
1861	TOR1A
1978	EIF4EBP1
2081	ERN1
2169	FABP2
2246	FGF1
2324	FLT4
246	ALOX15
2668	GDNF
283	ANG
3276	PRMT1
3554	IL1R1
3572	IL6ST
3691	ITGB4
3778	KCNMA1
406907	MIR124-1
406942	MIR150
406971	MIR195
407029	MIR30A
4162	MCAM
4261	CIITA
5077	PAX3
51176	LEF1
5196	PF4
5245	PHB1
55107	ANO1
5551	PRF1
5573	PRKAR1A
57007	ACKR3
60674	GAS5
6335	SCN9A
6348	CCL3
6364	CCL20
6426	SRSF1
652995	UCA1
7038	TG
706	TSPO
7166	TPH1
7248	TSC1
727	C5
7439	BEST1
760	CA2
7849	PAX8
8038	ADAM12
80781	COL18A1
8350	H3C1
10155	TRIM28
10381	TUBB3
10544	PROCR
10563	CXCL13
112744	IL17F
1392	CRH
1440	CSF3
1514	CTSL
1642	DDB1
1654	DDX3X
1839	HBEGF
1843	DUSP1
2023	ENO1
2177	FANCD2
2346	FOLH1
2660	MSTN
3251	HPRT1
3291	HSD11B2
3654	IRAK1
3976	LIF
407007	MIR222
4217	MAP3K5
4747	NEFL
5052	PRDX1
51206	GP6
