Approved symbol	Status	Previous symbols	Gene group ID	NCBI Gene ID
KRCC1	Approved			51315
KREMEN1	Approved	KREMEN		83999
KREMEN2	Approved			79412
KRI1	Approved			65095
KRIT1	Approved	CCM1	1293|1691|403|1940	889
KRN1	Symbol Withdrawn			
KRN1L	Symbol Withdrawn	KRN1L		
KROX20	Symbol Withdrawn			
KRR1	Approved	HRB2	1484	11103
KRR1P1	Approved			100422486
KRT1	Approved	EHK1	609	3848
KRT2	Approved	KRT2A	609	3849
KRT3	Approved		609	3850
KRT4	Approved	CYK4	609	3851
KRT5	Approved	EBS2	609	3852
KRT6A	Approved	KRT6C, KRT6D	609	3853
KRT6B	Approved	KRTL1	609	3854
KRT6C	Approved	KRT6E	609	286887
KRT6D	Symbol Withdrawn	KRT6D		
KRT7	Approved		609	3855
KRT7-AS	Approved		1987	109729127
KRT8	Approved		609	3856
KRT8P1	Approved			338017
KRT8P2	Approved			390472
KRT8P3	Approved			728638
KRT8P4	Approved			100509857
KRT8P5	Approved			342732
KRT8P6	Approved			392552
KRT8P7	Approved			729131
KRT8P8	Approved			402429
KRT8P9	Approved			390601
KRT8P10	Approved			344320
KRT8P11	Approved	KRT8L1		347265
KRT8P12	Approved	KRT8L2		90133
KRT8P13	Approved			730023
KRT8P14	Approved			347333
KRT8P15	Approved			645834
KRT8P16	Approved			220959
KRT8P17	Approved			392479
KRT8P18	Approved			442078
KRT8P19	Approved			644998
KRT8P20	Approved			441218
KRT8P21	Approved			126811
KRT8P22	Approved			342419
KRT8P23	Approved			390610
KRT8P24	Approved			729344
KRT8P25	Approved			402134
KRT8P26	Approved			390211
KRT8P27	Approved			442455
KRT8P28	Approved			391099
KRT8P29	Approved			391155
KRT8P30	Approved			391485
KRT8P31	Approved			728167
KRT8P32	Approved			100289133
KRT8P33	Approved			100418737
KRT8P34	Approved			100418811
KRT8P35	Approved			100418747
KRT8P36	Approved			100418748
KRT8P37	Approved			100287325
KRT8P38	Approved			100418799
KRT8P39	Approved			100418781
KRT8P40	Approved			100418728
KRT8P41	Approved			283102
KRT8P42	Approved			100418750
KRT8P43	Approved			100289319
KRT8P44	Approved			100129958
KRT8P45	Approved			149501
KRT8P46	Approved			100418744
KRT8P47	Approved			644743
KRT8P48	Approved			100887067
KRT8P49	Approved			643447
KRT8P50	Approved			
KRT8P51	Approved			
KRT8P52	Approved			100887068
KRT9	Approved		608	3857
KRT10	Approved	KPP	608	3858
KRT10-AS1	Approved	TMEM99	1987	147184
KRT12	Approved		608	3859
KRT13	Approved		608	3860
KRT14	Approved	EBS3, EBS4	608	3861
KRT14L1	Entry Withdrawn			
KRT14L2	Entry Withdrawn			
KRT14L3	Entry Withdrawn			
KRT15	Approved		608|1691	3866
KRT15L	Entry Withdrawn			
KRT16	Approved		608	3868
KRT16L1	Entry Withdrawn			
KRT16L2	Entry Withdrawn			
KRT16P1	Approved	KRT14P		729252
KRT16P2	Approved			400578
KRT16P3	Approved	KERSMCR		644945
KRT16P4	Approved			339244
KRT16P5	Approved			353196
KRT16P6	Approved			353194
KRT17	Approved	PCHC1	608	3872
KRT17P1	Approved			147228
KRT17P2	Approved			339241
KRT17P3	Approved			729682
KRT17P4	Approved			339186
KRT17P5	Approved			339240
KRT17P6	Approved			284196
KRT17P7	Approved			339258
KRT17P8	Approved			100130074
KRT18	Approved		608	3875
KRT18P1	Approved			3879
KRT18P2	Approved			54044
KRT18P3	Approved			170527
KRT18P4	Approved			391256
KRT18P5	Approved			728300
KRT18P6	Approved			122592
KRT18P7	Approved			100418877
KRT18P8	Approved			125242
KRT18P9	Approved			442205
KRT18P10	Approved			360019
KRT18P11	Approved	KRT18L1		3876
KRT18P12	Approved			643471
KRT18P13	Approved	KRT18L3		392371
KRT18P14	Approved	KRT18L4		119722
KRT18P15	Approved	KRT18L5		729211
KRT18P16	Approved			391827
KRT18P17	Approved			344866
KRT18P18	Approved			342374
KRT18P19	Approved			339781
KRT18P20	Approved			121054
KRT18P21	Approved			132391
KRT18P22	Approved			442252
KRT18P23	Approved			642448
KRT18P24	Approved			340460
KRT18P25	Approved			391647
KRT18P26	Approved			100418770
KRT18P27	Approved			390418
KRT18P28	Approved			343326
KRT18P29	Approved			729050
KRT18P30	Approved			643858
KRT18P31	Approved			646723
KRT18P32	Approved			391179
KRT18P33	Approved			647162
KRT18P34	Approved			391589
KRT18P35	Approved			391584
KRT18P36	Approved			442406
KRT18P37	Approved			392214
KRT18P38	Approved			441133
KRT18P39	Approved			344462
KRT18P40	Approved			390904
KRT18P41	Approved			345430
KRT18P42	Approved			391819
KRT18P43	Approved			151825
KRT18P44	Approved			139748
KRT18P45	Approved			391803
KRT18P46	Approved			391458
KRT18P47	Approved			390634
KRT18P48	Approved			340598
KRT18P49	Approved			392516
KRT18P50	Approved			442236
KRT18P51	Approved			391703
KRT18P52	Approved			100418769
KRT18P53	Approved			
KRT18P54	Approved			100418792
KRT18P55	Approved			284085
KRT18P56	Approved			
KRT18P57	Approved			643329
KRT18P58	Approved			644030
KRT18P59	Approved			399965
KRT18P60	Approved			100418829
KRT18P61	Approved			100418865
KRT18P62	Approved			100287635
KRT18P63	Approved			100288868
KRT18P64	Approved			
KRT18P65	Approved			442249
KRT18P66	Approved			442405
KRT18P67	Approved			100631239
KRT18P68	Approved			139060
KRT19	Approved		608	3880
KRT19P1	Approved			441160
KRT19P2	Approved	KRT19P5		160313
KRT19P3	Approved			442114
KRT19P4	Approved			100128041
KRT19P5	Symbol Withdrawn			
KRT19P6	Approved			
KRT20	Approved		608	54474
KRT22	Entry Withdrawn	KRT22		
KRT23	Approved		608	25984
KRT24	Approved		608	192666
KRT25	Approved	KRT25A	608	147183
KRT26	Approved	KRT25B	608	353288
KRT27	Approved	KRT25C	608	342574
KRT28	Approved	KRT25D	608	162605
KRT31	Approved	KRTHA1	608	3881
KRT32	Approved	KRTHA2	608	3882
KRT33A	Approved	KRTHA3A	608	3883
KRT33B	Approved	KRTHA3B	608	3884
KRT34	Approved	KRTHA4	608	3885
KRT35	Approved	KRTHA5	608	3886
KRT36	Approved	KRTHA6	608	8689
KRT37	Approved	KRTHA7	608	8688
KRT38	Approved	KRTHA8	608	8687
KRT39	Approved		608	390792
KRT40	Approved		608	125115
KRT41P	Approved	KRTHAP1		8686
KRT42P	Approved			284116
KRT43P	Approved			100418861
KRT71	Approved		609	112802
KRT72	Approved		609	140807
KRT73	Approved		609	319101
KRT73-AS1	Approved		1987	100127967
KRT74	Approved		609	121391
KRT75	Approved		609	9119
KRT76	Approved		609	51350
KRT77	Approved	KRT1B	609	374454
KRT78	Approved		609	196374
KRT79	Approved		609	338785
KRT80	Approved		609	144501
KRT81	Approved	KRTHB1	609	3887
KRT82	Approved	KRTHB2	609	3888
KRT83	Approved	KRTHB3	609	3889
KRT84	Approved	KRTHB4	609	3890
KRT85	Approved	KRTHB5	609	3891
KRT86	Approved	KRTHB6	609	3892
KRT87P	Approved	KRTHBP4, KRT121P		85349
KRT88P	Approved	KRTHBP3, KRT122P		85348
KRT89P	Approved	KRTHBP2, KRT123P		85344
KRT90P	Approved	KRTHBP1, KRT124P		85340
KRT125P	Approved			100418828
KRT126P	Approved			643865
KRT127P	Approved	KRT3P1		100418779
